"Timestamp","Temperature_Celsius(℃)","Relative_Humidity(%)"
"2022-08-29 06:39:59","27.2","39"
"2022-08-29 07:39:59","27.2","39"
"2022-08-29 08:39:59","27.3","38"
"2022-08-29 09:39:59","27.4","38"
"2022-08-29 10:39:59","27.5","38"
"2022-08-29 11:39:59","27.6","39"
"2022-08-29 12:39:59","27.7","38"
"2022-08-29 13:39:59","27.6","37"
"2022-08-29 14:39:59","27.7","37"
"2022-08-29 15:39:59","27.7","37"
"2022-08-29 16:39:59","27.7","37"
"2022-08-29 17:39:59","27.7","37"
"2022-08-29 18:39:59","27.6","38"
"2022-08-29 19:39:00","27.6","40"
"2022-08-29 20:39:00","27.7","41"
"2022-08-29 21:39:03","27.7","43"
"2022-08-29 22:39:08","27.2","43"
"2022-08-29 23:39:15","26.9","44"
"2022-08-30 00:39:16","26.7","45"
"2022-08-30 01:39:24","26.7","45"
"2022-08-30 02:39:24","26.9","46"
"2022-08-30 03:39:24","27.0","46"
"2022-08-30 04:39:24","27.1","46"
"2022-08-30 05:39:24","27.1","45"
"2022-08-30 06:39:24","27.1","45"
"2022-08-30 07:39:24","27.2","44"
"2022-08-30 08:39:26","27.3","44"
"2022-08-30 09:39:26","27.5","44"
"2022-08-30 10:39:26","27.6","43"
"2022-08-30 11:39:32","27.9","43"
"2022-08-30 12:39:41","27.9","40"
"2022-08-30 13:39:41","27.8","38"
"2022-08-30 14:39:41","27.8","38"
"2022-08-30 15:39:41","27.7","38"
"2022-08-30 16:39:41","27.7","38"
"2022-08-30 17:39:47","27.7","38"
"2022-08-30 18:39:47","27.6","35"
"2022-08-30 19:39:47","27.6","35"
"2022-08-30 20:39:48","27.7","39"
"2022-08-30 21:39:52","27.5","40"
"2022-08-30 22:39:53","27.2","40"
"2022-08-30 23:39:53","27.1","41"
"2022-08-31 00:39:00","26.8","43"
"2022-08-31 01:39:04","27.2","43"
"2022-08-31 02:39:04","27.3","43"
"2022-08-31 03:39:04","27.2","42"
"2022-08-31 04:39:04","27.2","41"
"2022-08-31 05:39:04","27.2","40"
"2022-08-31 06:39:04","27.1","39"
"2022-08-31 07:39:04","27.1","38"
"2022-08-31 08:39:04","27.2","38"
"2022-08-31 09:39:04","27.5","38"
"2022-08-31 10:39:07","27.7","37"
"2022-08-31 11:39:07","27.8","37"
"2022-08-31 12:39:07","27.9","38"
"2022-08-31 13:39:07","27.9","39"
"2022-08-31 14:39:08","27.9","38"
"2022-08-31 15:39:08","27.9","37"
"2022-08-31 16:39:11","27.8","35"
"2022-08-31 17:39:12","27.7","34"
"2022-08-31 18:39:12","27.7","33"
"2022-08-31 19:39:15","27.7","36"
"2022-08-31 20:39:15","27.5","36"
"2022-08-31 21:39:15","27.3","37"
"2022-08-31 22:39:16","27.1","39"
"2022-08-31 23:39:19","26.9","38"
"2022-09-01 00:39:27","26.8","38"
"2022-09-01 01:39:44","26.6","38"
"2022-09-01 02:39:48","27.0","38"
"2022-09-01 03:39:49","27.0","39"
"2022-09-01 04:39:49","26.9","39"
"2022-09-01 05:39:49","26.9","39"
"2022-09-01 06:39:49","27.0","39"
"2022-09-01 07:39:49","27.0","39"
"2022-09-01 08:39:49","27.1","39"
"2022-09-01 09:39:49","27.3","39"
"2022-09-01 10:39:49","27.5","39"
"2022-09-01 11:39:58","27.7","40"
"2022-09-01 12:39:58","27.8","40"
"2022-09-01 13:39:58","27.9","40"
"2022-09-01 14:39:59","28.0","42"
"2022-09-01 15:39:00","27.8","41"
"2022-09-01 16:39:04","27.7","38"
"2022-09-01 17:39:09","27.7","36"
"2022-09-01 18:39:12","27.7","35"
"2022-09-01 19:39:12","27.6","34"
"2022-09-01 20:39:15","27.6","35"
"2022-09-01 21:39:16","27.3","34"
"2022-09-01 22:39:16","27.2","34"
"2022-09-01 23:39:23","27.0","33"
"2022-09-02 00:39:23","26.8","32"
"2022-09-02 01:39:31","26.8","32"
"2022-09-02 02:39:32","27.0","33"
"2022-09-02 03:39:36","27.1","34"
"2022-09-02 04:39:36","27.0","34"
"2022-09-02 05:39:36","26.9","34"
"2022-09-02 06:39:36","27.0","34"
"2022-09-02 07:39:36","27.0","33"
"2022-09-02 08:39:36","27.1","34"
"2022-09-02 09:39:36","27.3","35"
"2022-09-02 10:39:40","27.4","35"
"2022-09-02 11:39:40","27.7","36"
"2022-09-02 12:39:43","27.8","37"
"2022-09-02 13:39:43","27.9","39"
"2022-09-02 14:39:43","28.0","39"
"2022-09-02 15:39:43","27.8","38"
"2022-09-02 16:39:43","27.7","38"
"2022-09-02 17:39:43","27.7","37"
"2022-09-02 18:39:43","27.6","37"
"2022-09-02 19:39:45","27.7","38"
"2022-09-02 20:39:45","27.8","39"
"2022-09-02 21:39:55","27.5","33"
"2022-09-02 22:39:59","27.3","32"
"2022-09-02 23:39:59","27.2","30"
"2022-09-03 00:39:04","27.1","30"
"2022-09-03 01:39:12","26.9","31"
"2022-09-03 02:39:17","26.8","31"
"2022-09-03 03:39:20","27.0","32"
"2022-09-03 04:39:20","27.0","33"
"2022-09-03 05:39:20","27.1","33"
"2022-09-03 06:39:20","27.1","33"
"2022-09-03 07:39:20","27.1","33"
"2022-09-03 08:39:20","27.3","33"
"2022-09-03 09:39:20","27.5","33"
"2022-09-03 10:39:23","27.7","33"
"2022-09-03 11:39:23","27.9","33"
"2022-09-03 12:39:23","28.0","34"
"2022-09-03 13:39:23","28.1","34"
"2022-09-03 14:39:24","28.2","34"
"2022-09-03 15:39:27","28.2","34"
"2022-09-03 16:39:28","27.5","33"
"2022-09-03 17:39:31","27.2","34"
"2022-09-03 18:39:32","26.9","34"
"2022-09-03 19:39:36","26.8","35"
"2022-09-03 20:39:39","27.3","36"
"2022-09-03 21:39:39","27.7","41"
"2022-09-03 22:39:39","27.5","38"
"2022-09-03 23:39:43","27.5","37"
"2022-09-04 00:39:42","27.4","37"
"2022-09-04 01:39:48","27.3","43"
"2022-09-04 02:39:48","27.5","42"
"2022-09-04 03:39:58","27.5","43"
"2022-09-04 04:39:58","27.5","43"
"2022-09-04 05:39:58","27.5","43"
"2022-09-04 06:39:58","27.4","44"
"2022-09-04 07:39:58","27.4","44"
"2022-09-04 08:39:58","27.5","45"
"2022-09-04 09:39:58","27.7","46"
"2022-09-04 10:39:58","27.9","47"
"2022-09-04 11:39:58","28.2","47"
"2022-09-04 12:39:59","28.3","47"
"2022-09-04 13:39:02","28.2","47"
"2022-09-04 14:39:02","28.2","51"
"2022-09-04 15:39:02","28.2","47"
"2022-09-04 16:39:02","28.2","44"
"2022-09-04 17:39:02","28.1","42"
"2022-09-04 18:39:02","28.1","45"
"2022-09-04 19:39:02","28.1","46"
"2022-09-04 20:39:01","27.9","46"
